# t, hp, hx
2.003788878900000098e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.006159317299999884e-02 -3.661029517499999990e-03 -3.003484972900000169e-09
2.008530413300000164e-02 -3.984048360699999833e-03 -4.694314507099999614e-09
2.010902473500000148e-02 -3.900218042899999960e-03 -3.251827538900000053e-09
2.013276973799999967e-02 -3.486622727799999939e-03 -3.192604347000000027e-09
2.015652418599999871e-02 -2.909873554999999837e-03 -1.043517233300000076e-08
2.018027145799999866e-02 -2.322617262899999858e-03 -2.834952545599999843e-08
2.020403411800000132e-02 -1.884588544600000054e-03 -5.318319060399999899e-08
2.022779154399999973e-02 -1.790486615799999955e-03 -7.942209772899999385e-08
2.025155784700000128e-02 -2.100660471700000094e-03 -1.014113666200000047e-07
2.027532692200000042e-02 -2.720674263999999995e-03 -1.096108509500000059e-07
2.029908818500000128e-02 -3.431874222400000014e-03 -9.980593455400000586e-08
2.032284996299999966e-02 -3.925683761999999681e-03 -7.314963974100000365e-08
2.034660191800000129e-02 -4.010859443199999569e-03 -3.477914059400000086e-08
2.037035989699999966e-02 -3.703148014299999843e-03 5.193327976899999612e-09
2.039412235199999923e-02 -3.163542646300000153e-03 4.029107527799999915e-08
2.041787500699999980e-02 -2.570953452800000139e-03 6.802677967399999466e-08
2.044163464099999980e-02 -2.021691703300000208e-03 8.689933923799999414e-08
2.046539200299999847e-02 -1.634332722100000079e-03 9.970057073099999736e-08
2.048915258700000075e-02 -1.578287786299999986e-03 1.119276783699999970e-07
2.051291260199999966e-02 -1.901565202799999910e-03 1.274183321500000023e-07
2.053666088199999906e-02 -2.530608258300000041e-03 1.446706908299999875e-07
2.056042081899999915e-02 -3.290021863800000022e-03 1.580624067700000056e-07
2.058417657199999862e-02 -3.844369394999999981e-03 1.624620211400000003e-07
2.060793182399999965e-02 -3.951041016400000036e-03 1.553110679899999972e-07
2.063168258399999955e-02 -3.669667541899999854e-03 1.352952102199999888e-07
2.065544221599999869e-02 -3.170700606900000128e-03 1.062896109000000042e-07
2.067919872500000034e-02 -2.615962325999999886e-03 7.650316849299999662e-08
2.070295354299999877e-02 -2.092489260499999938e-03 5.092120728300000051e-08
2.072671185599999841e-02 -1.730520903300000052e-03 3.170726271300000028e-08
2.075046680299999849e-02 -1.686302639599999900e-03 1.783273452400000161e-08
2.077422482700000059e-02 -1.970654723899999908e-03 4.089297524900000036e-09
2.079797686500000145e-02 -2.513237634999999828e-03 -1.521087050600000066e-08
2.082173592200000159e-02 -3.156342075799999872e-03 -4.196737941900000088e-08
2.084548942100000052e-02 -3.640864559400000013e-03 -7.262913006899999521e-08
2.086924514799999922e-02 -3.749967705000000102e-03 -1.015802509300000038e-07
2.089300589099999869e-02 -3.493517275399999917e-03 -1.234651795599999925e-07
2.091675660400000095e-02 -3.023163825500000106e-03 -1.342828547000000038e-07
2.094050796299999975e-02 -2.494653479499999923e-03 -1.347680242799999894e-07
2.096426080400000044e-02 -2.021662614899999866e-03 -1.290673378500000029e-07
2.098801302800000143e-02 -1.734421484799999937e-03 -1.231240205399999988e-07
2.101130655599999994e-02 -1.745338122700000041e-03 -1.227293095500000085e-07
2.103506066700000163e-02 -2.088301331899999978e-03 -1.274308496799999885e-07
2.105882672599999894e-02 -2.699602082299999879e-03 -1.324958092100000009e-07
2.108258220699999949e-02 -3.376572835700000080e-03 -1.330739457099999868e-07
2.110633795900000026e-02 -3.793443535799999929e-03 -1.247334759100000119e-07
2.113009726000000116e-02 -3.790739458200000078e-03 -1.077045695299999986e-07
2.115386162199999961e-02 -3.474559850300000009e-03 -8.500406874299999658e-08
2.117762075399999902e-02 -2.992940478700000136e-03 -6.059755224099999843e-08
2.120137689199999911e-02 -2.471807069099999938e-03 -4.049110714800000167e-08
2.122513353799999891e-02 -1.951242940500000096e-03 -2.700390977900000101e-08
2.124888899900000128e-02 -1.531828722899999896e-03 -1.879312164200000030e-08
2.127264475599999899e-02 -1.373761736400000042e-03 -1.454011126199999987e-08
2.129641179300000020e-02 -1.530396550899999937e-03 -7.310141642199999763e-09
2.132017585099999987e-02 -2.029702157599999873e-03 8.854682771800000440e-09
2.134393183700000057e-02 -2.751157694999999993e-03 3.213352121900000249e-08
2.136768613300000022e-02 -3.409880664499999846e-03 5.756669943799999778e-08
2.139144072900000040e-02 -3.725796852300000076e-03 7.920700758599999947e-08
2.141519670299999942e-02 -3.647327126799999875e-03 9.268408966900000542e-08
2.143895536500000157e-02 -3.318212326000000070e-03 9.563613936599999656e-08
2.146272344300000079e-02 -2.837145362999999969e-03 9.122774111299999357e-08
2.148648329000000037e-02 -2.301484320099999800e-03 8.597588350999999420e-08
2.151024073399999959e-02 -1.832733348700000100e-03 8.329677602699999850e-08
2.153399639000000074e-02 -1.523137604099999987e-03 8.706687551499999369e-08
2.155775433800000140e-02 -1.486127123100000093e-03 9.352331126000000533e-08
2.158151222999999883e-02 -1.794143218499999991e-03 9.408844322199999750e-08
2.160527938800000172e-02 -2.374414000699999992e-03 9.085211907800000178e-08
2.162905425999999895e-02 -3.090047857599999975e-03 8.280882518700000411e-08
2.165282177200000130e-02 -3.615980359800000099e-03 6.991975539500000243e-08
2.167658962799999880e-02 -3.737091649099999989e-03 5.622707146500000218e-08
2.170035238100000152e-02 -3.525024759299999911e-03 4.197159441999999965e-08
2.172411322300000017e-02 -3.100717147000000076e-03 3.680817254699999693e-08
2.174787477000000163e-02 -2.592977399800000179e-03 3.882793187799999850e-08
2.177163829100000128e-02 -2.058420065400000127e-03 3.943406399399999728e-08
2.179540879300000122e-02 -1.575057801600000069e-03 3.744858860799999912e-08
2.181917896300000076e-02 -1.251205602399999917e-03 2.527872542500000147e-08
2.184294357199999953e-02 -1.168135288899999893e-03 3.557327987299999865e-09
2.186670916300000045e-02 -1.437266836799999930e-03 -2.035907305599999906e-08
2.189047359099999951e-02 -2.066183148099999794e-03 -3.922119929100000026e-08
2.191424174899999841e-02 -2.917567644400000191e-03 -4.928689346599999892e-08
2.193800698800000074e-02 -3.647417717299999800e-03 -4.972612211300000253e-08
2.196177629300000156e-02 -3.920438475399999796e-03 -3.420808241199999926e-08
2.198554672600000134e-02 -3.772070611500000139e-03 -1.993470843999999855e-08
2.200897433099999884e-02 -3.393440944999999865e-03 -1.562458148000000021e-08
2.203273770999999992e-02 -2.888667922800000187e-03 -1.145143916299999992e-08
2.205650734400000160e-02 -2.335033479000000068e-03 -4.766717246199999897e-09
2.208027149500000133e-02 -1.801681632100000019e-03 5.592017744299999725e-09
